Model Name,Rating,ROM,Display (cm),Chip Processor,Number of Ratings,Number of Reviews,Price(₹)
"APPLE iPhone 13 Pro Max (Sierra Blue, 512 GB)",4.6,512,17.02,A15,1921.0,184.0,134999
"APPLE iPhone 6s Plus (Rose Gold, 16 GB)",4.4,16,13.97,,18836.0,2375.0,49999
"APPLE iPhone XR (Coral, 64 GB)",4.6,64,15.49,A12,100918.0,8544.0,47900
"APPLE iPhone 13 Pro (Sierra Blue, 128 GB)",4.7,128,15.49,A15,1483.0,122.0,119900
"APPLE iPhone 7 (Rose Gold, 128 GB)",4.5,128,11.94,,95159.0,9189.0,34900
"APPLE iPhone 7 (Rose Gold, 128 GB)",4.5,128,11.94,,95159.0,9189.0,34900
"APPLE iPhone 13 Pro Max (Alpine Green, 128 GB)",4.6,128,17.02,A15,1921.0,184.0,129900
"APPLE iPhone 13 Pro Max (Graphite, 128 GB)",4.6,128,17.02,A15,1921.0,184.0,129900
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",4.5,256,11.94,A13,154498.0,12077.0,40990
"APPLE iPhone XS Max (Space Grey, 256 GB)",4.6,256,16.51,A12,1453.0,146.0,124900
"APPLE iPhone 6s (Space Grey, 32 GB)",4.5,32,11.94,,93095.0,9228.0,29990
"APPLE iPhone 6s Plus (Silver, 32 GB)",4.4,32,13.97,,18836.0,2375.0,34900
"APPLE iPhone 12 mini (Black, 64 GB)",4.5,64,13.72,A14,129311.0,10267.0,50999
"APPLE iPhone 6s (Rose Gold, 16 GB)",4.5,16,11.94,,93095.0,9228.0,31999
"APPLE iPhone 11 Pro (Gold, 512 GB)",4.6,512,14.73,A13,8676.0,629.0,140300
"APPLE iPhone 6s (Silver, 16 GB)",4.5,16,11.94,,93095.0,9228.0,41999
"APPLE iPhone 8 Plus (PRODUCT)RED (Red, 64 GB)",4.6,64,13.97,A11,268.0,,49900
"APPLE iPhone 6s (Silver, 128 GB)",4.5,128,11.94,,93095.0,9228.0,55999
"APPLE iPhone 12 Pro (Pacific Blue, 512 GB)",4.5,512,15.49,A14,1332.0,,106699
"APPLE iPhone 6s Plus (Silver, 64 GB)",4.4,64,13.97,,18836.0,2375.0,59999
"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)",4.5,128,11.94,A13,154498.0,12077.0,32990
"APPLE iPhone 11 Pro (Space Grey, 512 GB)",4.6,512,14.73,A13,8676.0,629.0,140300
"APPLE iPhone 6s Plus (Space Grey, 64 GB)",4.4,64,13.97,,18836.0,2375.0,59999
"APPLE iPhone 13 mini (Pink, 512 GB)",4.5,512,13.72,A15,3497.0,302.0,91999
"APPLE iPhone 12 Pro (Silver, 256 GB)",4.5,256,15.49,A14,1332.0,,88199
"APPLE iPhone 6s Plus (Silver, 16 GB)",4.4,16,13.97,,18836.0,2375.0,49999
"APPLE iPhone 7 (Rose Gold, 256 GB)",4.5,256,11.94,,95159.0,9189.0,74400
"APPLE iPhone 11 Pro Max (Midnight Green, 64 GB)",4.7,64,16.51,A13,1101.0,100.0,95699
"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)",4.5,128,11.94,A13,154498.0,12077.0,32990
"APPLE iPhone 6 Plus (Space Grey, 16 GB)",4.5,16,13.97,,1674.0,199.0,39999
"APPLE iPhone 14 Pro Max (Deep Purple, 1 TB)",4.6,1,17.02,A16,1985.0,145.0,177999
"APPLE iPhone 12 Pro (Gold, 256 GB)",4.5,256,15.49,A14,1332.0,,88199
"APPLE iPhone 6s (Silver, 64 GB)",4.5,64,11.94,,93095.0,9228.0,49999
"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)",4.7,64,16.51,A13,1101.0,100.0,95699
"APPLE iPhone 14 Pro (Space Black, 1 TB)",4.6,1,15.49,A16,1781.0,130.0,169999
"APPLE iPhone 12 mini (Red, 128 GB)",4.5,128,13.72,A14,129311.0,10267.0,55999
"APPLE iPhone 6s Plus (Gold, 64 GB)",4.4,64,13.97,,18836.0,2375.0,59999
"APPLE iPhone 12 (Black, 256 GB)",4.6,256,15.49,A14,190638.0,12876.0,64999
"APPLE iPhone 11 Pro (Space Grey, 256 GB)",4.6,256,14.73,A13,8676.0,629.0,100699
